path,json_null_before,json_null_after,lowercase_null_text_before,lowercase_null_text_after,status,blocker
IDUNEX/03_PROJECT_FACTORY/01_TEMPLATES/IDUNEX_PROJECT_TEMPLATE_v1.0.0/PROJECT_CORE/09_PROFILE360_TECH_EXT/MODEL_001_VOICE360_ADVANCED_AUDIO.json,0,0,1,0,PASS,BLOCKED_TECH_EXT_NULL_INHERITANCE
IDUNEX/03_PROJECT_FACTORY/01_TEMPLATES/IDUNEX_PROJECT_TEMPLATE_v1.0.0/PROJECT_CORE/09_PROFILE360_TECH_EXT/MODEL_001_WARDROBE360_SIZE_SYSTEM.json,0,0,1,0,PASS,BLOCKED_TECH_EXT_NULL_INHERITANCE
IDUNEX/03_PROJECT_FACTORY/01_TEMPLATES/IDUNEX_PROJECT_TEMPLATE_v1.0.0/PROJECT_CORE/09_PROFILE360_TECH_EXT/MODEL_002_BODY360_MEASURABLES.json,0,0,1,0,PASS,BLOCKED_TECH_EXT_NULL_INHERITANCE
IDUNEX/03_PROJECT_FACTORY/01_TEMPLATES/IDUNEX_PROJECT_TEMPLATE_v1.0.0/PROJECT_CORE/09_PROFILE360_TECH_EXT/MODEL_002_CAMERA360_MODEL_RULES.json,0,0,1,0,PASS,BLOCKED_TECH_EXT_NULL_INHERITANCE
IDUNEX/03_PROJECT_FACTORY/01_TEMPLATES/IDUNEX_PROJECT_TEMPLATE_v1.0.0/PROJECT_CORE/09_PROFILE360_TECH_EXT/MODEL_002_ENVIRONMENT360_COMPATIBILITY.json,0,0,1,0,PASS,BLOCKED_TECH_EXT_NULL_INHERITANCE
IDUNEX/03_PROJECT_FACTORY/01_TEMPLATES/IDUNEX_PROJECT_TEMPLATE_v1.0.0/PROJECT_CORE/09_PROFILE360_TECH_EXT/MODEL_002_EXPRESSION360_FACS_LITE.json,0,0,1,0,PASS,BLOCKED_TECH_EXT_NULL_INHERITANCE
IDUNEX/03_PROJECT_FACTORY/01_TEMPLATES/IDUNEX_PROJECT_TEMPLATE_v1.0.0/PROJECT_CORE/09_PROFILE360_TECH_EXT/MODEL_002_FACE360_LANDMARK_TOLERANCE.json,0,0,1,0,PASS,BLOCKED_TECH_EXT_NULL_INHERITANCE
IDUNEX/03_PROJECT_FACTORY/01_TEMPLATES/IDUNEX_PROJECT_TEMPLATE_v1.0.0/PROJECT_CORE/09_PROFILE360_TECH_EXT/MODEL_002_HAIR360_TECHNICAL_PROFILE.json,0,0,1,0,PASS,BLOCKED_TECH_EXT_NULL_INHERITANCE
IDUNEX/03_PROJECT_FACTORY/01_TEMPLATES/IDUNEX_PROJECT_TEMPLATE_v1.0.0/PROJECT_CORE/09_PROFILE360_TECH_EXT/MODEL_002_HANDS_FEET360_DETAIL.json,0,0,1,0,PASS,BLOCKED_TECH_EXT_NULL_INHERITANCE
IDUNEX/03_PROJECT_FACTORY/01_TEMPLATES/IDUNEX_PROJECT_TEMPLATE_v1.0.0/PROJECT_CORE/09_PROFILE360_TECH_EXT/MODEL_002_LIGHTING360_MODEL_RESPONSE.json,0,0,1,0,PASS,BLOCKED_TECH_EXT_NULL_INHERITANCE
IDUNEX/03_PROJECT_FACTORY/01_TEMPLATES/IDUNEX_PROJECT_TEMPLATE_v1.0.0/PROJECT_CORE/09_PROFILE360_TECH_EXT/MODEL_002_MOTION360_VIDEO_BIOMECHANICS.json,0,0,1,0,PASS,BLOCKED_TECH_EXT_NULL_INHERITANCE
IDUNEX/03_PROJECT_FACTORY/01_TEMPLATES/IDUNEX_PROJECT_TEMPLATE_v1.0.0/PROJECT_CORE/09_PROFILE360_TECH_EXT/MODEL_002_SKIN360_LIGHT_RESPONSE.json,0,0,1,0,PASS,BLOCKED_TECH_EXT_NULL_INHERITANCE
IDUNEX/03_PROJECT_FACTORY/01_TEMPLATES/IDUNEX_PROJECT_TEMPLATE_v1.0.0/PROJECT_CORE/09_PROFILE360_TECH_EXT/MODEL_002_VOICE360_ADVANCED_AUDIO.json,0,0,1,0,PASS,BLOCKED_TECH_EXT_NULL_INHERITANCE
IDUNEX/03_PROJECT_FACTORY/01_TEMPLATES/IDUNEX_PROJECT_TEMPLATE_v1.0.0/PROJECT_CORE/09_PROFILE360_TECH_EXT/MODEL_002_WARDROBE360_SIZE_SYSTEM.json,0,0,1,0,PASS,BLOCKED_TECH_EXT_NULL_INHERITANCE
